clause	token_label	emotion-label	doc_id
That day Jobs walked into the lobby of the video game manufacturer Atari and told the personnel director	O O O O O O O O O O O O O O O O O O	surprise	0
who was startled by his unkempt hair and attire	O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU	surprise	0
that he wouldn't leave until they gave him a job.	O O O O O O O O O O	surprise	0
Jobs spent a few days in Munich	O O O O O O O	disgust	1
where he solved the interference problem	O O O O O O	disgust	1
but in the process he flummoxed the dark-suited German managers	O O O O O O O O O O	disgust	1
They complained to Alcorn that he dressed and smelled like a bum and behaved rudely.	O B-EMO I-EMO O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	1
For his part	O O O	fear	2
Jobs was upset that the Germans kept trying to feed him meat and potatoes.	O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	2
He had a better time when he took the train to see the distributor in Turin	O O O O O O O O O O O O O O O O	happiness	4
where the Italian pastas and his host's camaraderie were more simpatico	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	4
I had a wonderful couple of weeks in Turin	O O O B-EMO I-EMO I-EMO I-EMO I-EMO I-EMO	happiness	4
which is this charged-up industrial town	O O O O O O	happiness	4
he recalled.	O O	happiness	4
Jobs by the hand	O O O O	fear	5
he led him out of the worshipful crowd and walked him up to a hill	O O O O O O O O O O O O O O O	fear	5
where there was a well and a small pond	O O O O O O O O O	fear	5
we sit down and he pulls out this straight razor	O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	5
I'm thinking he's a nutcase and begin to worry	O O O O O O O O B-EMO	fear	5
Then he pulls out a bar of soap-I had long hair at the time-and he lathered up my hair and shaved my head.	O O O O O O O O O O O O O O O O O O O O O O O	fear	5
He told me he was deeply angry about the fact that he had been given up.	O O O O B-EMO I-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	6
Wozniak was thrilled when Jobs asked him to help and proposed splitting the fee	O B-EMO I-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	7
this was the most wonderful offer in my life	O O O O O O O O O	happiness	7
to actually design a game that people would use	O O O O O O O O O	happiness	7
he recalled.	O O	happiness	7
The Atari experience helped shape Jobs's approach to business and design	O O O O O O O O O O O	happiness	8
He appreciated the user-friendliness of Atari's insert-quarter-avoid-Klingons games	O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	8
that simplicity rubbed off on him and made him a very focused product person	O O O O O O O O O O O O O O	happiness	8
said Ron Wayne.	O O O	happiness	8
I typed a few keys on the keyboard and I was shocked	O O O O O O O O O O O B-EMO	surprise	9
The letters were displayed on the screen	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	9
t was Sunday	O O O	surprise	9
June 29	O O	surprise	9
1975	O	surprise	9
a milestone for the personal computer.	O O O O O O	surprise	9
His argument was that a great engineer would be remembered only if he teamed with a great marketer	O O O O O O O O O O O O O O O O O O	happiness	11
and this required him to commit his designs to the partnership	O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness	11
Jobs was so impressed and grateful that he offered Wayne a 10% stake in the new partnership	O O O O O B-EMO O O O O O O O O O O O	happiness	11
turning him into a tie-breaker if Jobs and Wozniak disagreed over an issue.	O O O O O O O O O O O O O	happiness	11
Jobs and Wozniak had no personal assets	O O O O O O O	fear	12
but Wayne (who worried about a global financial Armageddon) kept gold coins hidden in his mattress.	O O O B-EMO O O B-CAU I-CAU I-CAU O O O O O O O	fear	12
Jobs and Wozniak had no personal assets	O O O O O O O	fear	13
but Wayne (who worried about a global financial Armageddon) kept gold coins hidden in his mattress	O O O O O O O O O O O O O O O O	fear	13
Because they had structured Apple as a simple partnership rather than a corporation	O O O O O O O O O O O O O	fear	13
the partners would be personally liable for the debts	O O O O O O O O O	fear	13
and Wayne was afraid potential creditors would go after him.	O O B-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	13
Clara Jobs didn't mind losing most of her house to piles of parts and houseguests	O O O O O O O O O O O O O O O	sadness	15
but she was frustrated by her son's increasingly quirky diets.	O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU	sadness	15
What bothered him more was that Jobs knew nothing about marketing and seemed content to peddle his product to individual stores one by one.	O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	20
Like Markkula	O O	disgust	22
he hated dealing with the conflicts that Jobs engendered.	O B-EMO O O B-CAU I-CAU I-CAU I-CAU I-CAU	disgust	22
A year after Lisa was born	O O O O O O	surprise	26
Jobs agreed to take a paternity test	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise	26
Brennan's family was surprised	O O O B-EMO	surprise	26
but Jobs knew that Apple would soon be going public and he decided it was best to get the issue resolved.	O O O O O O O O O O O O O O O O O O O O O	surprise	26
Atkinson and others had read some of the papers published by Xerox PARC	O O O O O O O O O O O O O	disgust	28
so they knew they were not getting a full description	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	28
Jobs phoned the head of the Xerox venture capital division to complain	O O O O O O O O O O O B-EMO	disgust	28
a call immediately came back from corporate headquarters in Connecticut decreeing that Jobs and his group should be shown everything.	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	28
He was working so hard that one morning	O O O O O O O O	fear	30
in a daze	O O O	fear	30
he drove his Corvette into a parked truck and nearly killed himself	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear	30
Jobs immediately drove to the hospital to see him	O O O O O O O O O	fear	30
We were pretty worried about you	O O O B-EMO I-EMO O	fear	30
he said when Atkinson regained consciousness.	O O O O O O	fear	30
Both Mike Scott and Mike Markkula were intent on bringing some order to Apple and became increasingly concerned about Jobs's disruptive behavior	O O O O O O O O O O O O O O O O O B-EMO I-EMO B-CAU I-CAU I-CAU	fear	33
So in September 1980	O O O O	fear	33
they secretly plotted a reorganization.	O O O O O	fear	33
What was really so difficult for me is that Steve never told me I wasn't eligible	O B-EMO I-EMO I-EMO I-EMO I-EMO O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	sadness	35
recalled Kottke.	O O	sadness	35
But when he got in to see him	O O O O O O O O	anger	36
Jobs was so cold that Kottke froze	B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger	36
I just got choked up and began to cry and just couldn't talk to him	O O O B-EMO I-EMO O O O O O O O O O O	anger	36
Kottke recalled	O O	anger	36
Our friendship was all gone	O O O O O	anger	36
It was so sad.	O O O O	anger	36
Jobs even tried to reengage Wozniak	O O O O O O	disgust	38
I resented the fact that he had not been doing much	O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust	38
but then I thought	O O O O	disgust	38
hell	O	disgust	38
I wouldn't be here without his brilliance	O O O O O O O	disgust	38
Jobs later told me.	O O O O	disgust	38
One day Jobs came into the cubicle of Larry Kenyon	O O O O O O O O O O	disgust	41
an engineer who was working on the Macintosh operating system	O O O O O O O O O O	disgust	41
