document	token_label	emotion_label
That day Jobs walked into the lobby of the video game manufacturer Atari and told the personnel director who was startled by his unkempt hair and attire that he wouldn't leave until they gave him a job.	O O O O O O O O O O O O O O O O O O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O	surprise
Jobs spent a few days in Munich where he solved the interference problem but in the process he flummoxed the dark-suited German managers They complained to Alcorn that he dressed and smelled like a bum and behaved rudely.	O O O O O O O O O O O O O O O O O O O O O O O O B-EMO I-EMO O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust
For his part Jobs was upset that the Germans kept trying to feed him meat and potatoes.	O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear
He had a better time when he took the train to see the distributor in Turin where the Italian pastas and his host's camaraderie were more simpatico I had a wonderful couple of weeks in Turin which is this charged-up industrial town he recalled.	O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O B-EMO I-EMO I-EMO I-EMO I-EMO I-EMO O O O O O O O O	happiness
Jobs by the hand he led him out of the worshipful crowd and walked him up to a hill where there was a well and a small pond we sit down and he pulls out this straight razor I'm thinking he's a nutcase and begin to worry Then he pulls out a bar of soap-I had long hair at the time-and he lathered up my hair and shaved my head.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O B-EMO O O O O O O O O O O O O O O O O O O O O O O O	fear
He told me he was deeply angry about the fact that he had been given up.	O O O O B-EMO I-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger
Wozniak was thrilled when Jobs asked him to help and proposed splitting the fee this was the most wonderful offer in my life to actually design a game that people would use he recalled.	O B-EMO I-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O	happiness
The Atari experience helped shape Jobs's approach to business and design He appreciated the user-friendliness of Atari's insert-quarter-avoid-Klingons games that simplicity rubbed off on him and made him a very focused product person said Ron Wayne.	O O O O O O O O O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O	happiness
I typed a few keys on the keyboard and I was shocked The letters were displayed on the screen t was Sunday June 29 1975 a milestone for the personal computer.	O O O O O O O O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O	surprise
His argument was that a great engineer would be remembered only if he teamed with a great marketer and this required him to commit his designs to the partnership Jobs was so impressed and grateful that he offered Wayne a 10% stake in the new partnership turning him into a tie-breaker if Jobs and Wozniak disagreed over an issue.	O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O	happiness
Jobs and Wozniak had no personal assets but Wayne (who worried about a global financial Armageddon) kept gold coins hidden in his mattress.	O O O O O O O O O O B-EMO O O B-CAU I-CAU I-CAU O O O O O O O	fear
Jobs and Wozniak had no personal assets but Wayne (who worried about a global financial Armageddon) kept gold coins hidden in his mattress Because they had structured Apple as a simple partnership rather than a corporation the partners would be personally liable for the debts and Wayne was afraid potential creditors would go after him.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear
Clara Jobs didn't mind losing most of her house to piles of parts and houseguests but she was frustrated by her son's increasingly quirky diets.	O O O O O O O O O O O O O O O O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU	sadness
What bothered him more was that Jobs knew nothing about marketing and seemed content to peddle his product to individual stores one by one.	O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust
Like Markkula he hated dealing with the conflicts that Jobs engendered.	O O O B-EMO O O B-CAU I-CAU I-CAU I-CAU I-CAU	disgust
A year after Lisa was born Jobs agreed to take a paternity test Brennan's family was surprised but Jobs knew that Apple would soon be going public and he decided it was best to get the issue resolved.	O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O B-EMO O O O O O O O O O O O O O O O O O O O O O	surprise
Atkinson and others had read some of the papers published by Xerox PARC so they knew they were not getting a full description Jobs phoned the head of the Xerox venture capital division to complain a call immediately came back from corporate headquarters in Connecticut decreeing that Jobs and his group should be shown everything.	O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust
He was working so hard that one morning in a daze he drove his Corvette into a parked truck and nearly killed himself Jobs immediately drove to the hospital to see him We were pretty worried about you he said when Atkinson regained consciousness.	O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O B-EMO I-EMO O O O O O O O	fear
Both Mike Scott and Mike Markkula were intent on bringing some order to Apple and became increasingly concerned about Jobs's disruptive behavior So in September 1980 they secretly plotted a reorganization.	O O O O O O O O O O O O O O O O O B-EMO I-EMO B-CAU I-CAU I-CAU O O O O O O O O O	fear
What was really so difficult for me is that Steve never told me I wasn't eligible recalled Kottke.	O B-EMO I-EMO I-EMO I-EMO I-EMO O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O	sadness
But when he got in to see him Jobs was so cold that Kottke froze I just got choked up and began to cry and just couldn't talk to him Kottke recalled Our friendship was all gone It was so sad.	O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O B-EMO I-EMO O O O O O O O O O O O O O O O O O O O O O	anger
Jobs even tried to reengage Wozniak I resented the fact that he had not been doing much but then I thought hell I wouldn't be here without his brilliance Jobs later told me.	O O O O O O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O	disgust
One day Jobs came into the cubicle of Larry Kenyon an engineer who was working on the Macintosh operating system and complained that it was taking too long to boot up.	O O O O O O O O O O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	disgust
He also admired the design of the Mercedes.	O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU	happiness
He had just come up with a brilliant algorithm that could draw circles and ovals onscreen quickly The math for making circles usually required calculating square roots which the 68000 microprocessor didn't support But Atkinson did a workaround based on the fact that the sum of a sequence of odd numbers produces a sequence of perfect squares (for example 1 + 3 = 4 1 + 3 + 5 = 9 etc Hertzfeld recalled that when Atkinson fired up his demo everyone was impressed except Jobs.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O O	surprise
Atkinson had been left out of the publicity interviews for the Lisa launch and he marched into Jobs's hotel room and threatened to quit Jobs tried to minimize the slight but Atkinson refused to be mollified Jobs got annoyed.	O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O B-EMO	anger
But by the time the Lisa was ready to ship in the spring of 1983 it was clear that the Twiggy was buggy Because the Lisa also came with a hard-disk drive this was not a complete disaster But the Mac had no hard disk so it faced a crisis The Mac team was beginning to panic said Hertzfeld.	O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O O	fear
A few days later he drove to Apple's factory in San Jose to see the Twiggy being made More than half were rejected Jobs erupted With his face flushed he began shouting and sputtering about firing everyone who worked there.	O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O B-EMO O O O O O O B-EMO I-EMO I-EMO O O O O O O	anger
He took them to visit a computer store where he was struck by how poorly the products were marketed.	O O O O O O O O O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise
When he arrived at Apple headquarters Sculley was startled by the unassuming offices and casual atmosphere.	O O O O O O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise
The explanation that Sculley might buy a lot of Macintoshes for Pepsi sounded a little bit fishy to me Hertzfeld recalled but he and Susan Kare created a screen of Pepsi caps and cans that danced around with the Apple logo Hertzfeld was so excited he began waving his arms around during the demo but Sculley seemed underwhelmed.	O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O B-EMO I-EMO I-EMO I-EMO O O O O O O O	happiness
To him the marketing costs were like any other production cost and needed to be factored into the price Jobs resisted furiously.	O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O B-EMO I-EMO	anger
So Jobs promised them don't worry I'm not going to let him get away with it But in the end Sculley prevailed Even twenty-five years later Jobs seethed when recalling the decision: It's the main reason the Macintosh sales slowed and Microsoft got to dominate the market.	O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	anger
Hertzfeld who took great pride that they could achieve their functionality solely using software replied We don't have any special hardware for it Gates insisted that it was necessary to have special hardware to move the cursor that way.	O O B-EMO I-EMO I-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O	happiness
Despite their mutual wariness both teams were excited by the prospect that Microsoft would create graphical software for the Macintosh that would take personal computing into a new realm and they went to dinner at a fancy restaurant to celebrate.	O O O O O O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O	happiness
But this arrangement upset competing software makers In addition it seemed that some of Microsoft's programs might be late So Jobs invoked a provision in his deal with Microsoft and decided not to bundle its software Microsoft would have to scramble to distribute its software as products sold directly to consumers.	O O O B-EMO O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness
As Jobs and his team began to work closely with Microsoft they grew worried that it would copy Macintosh's graphical user interface.	O O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear
After Jobs talked about the just-in-time production schedules she asked about overtime pay He was annoyed so he described how automation helped him keep down labor costs a subject he knew would not delight her.	O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU O O B-EMO O O O O O O O O O O O O O O O O O O O	anger
Is it hard work she asked @ How much vacation time do they get Jobs couldn't contain himself bs replied I'm in a hurry ##Amazingly the officer didn't get mad.	O O O O O O O O O O O O O O O B-EMO I-EMO I-EMO O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU	disgust
When Jobs made his usual threat about cutting down on France's allocations if Gass��e didn't jack up sales projections Gass��e got angry.	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O B-EMO I-EMO	anger
I was furious because the Mac XL wasn't real said Hoffman It was just to blow the excess Lisas out the door.	O O B-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O	anger
The venture capitalist Don Valentine marveled at the change in the decade since that time.	O O O O O B-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise
By early 1985 Burrell Smith was also ready to leave He had worried that it would be hard to quit if Jobs tried to talk him out of it	O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	fear
There he happened to see sketches that the firm had made for Wozniak's new remote control device and he flew into a rage.	O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O B-EMO I-EMO I-EMO I-EMO	anger
Sculley's wife was surprised to see him back in the middle of the day I've failed he said to her forlornly.	O O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O	surprise
His ire stoked by hearing from Markkula that Jobs had spent the previous evening trying to subvert him Sculley walked over to Jobs's office on Tuesday morning.	O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O	anger
He warned them that there were strict laws against sharing technology with the Soviets Jobs was annoyed.	O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O B-EMO	anger
Lewin's university consortium had been a godsend to the Macintosh group but he had become frustrated after Jobs left and Bill Campbell had reorganized marketing in a way that reduced the role of direct sales to universities.	O O O O O O O O O O O O O O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	sadness
What particularly struck Nocera was Jobs's almost willful lack of tact.	O O B-EMO O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	surprise
In the spring of 1988 cash was running so short that he convened a meeting to decree deep spending cuts across the board When it was over Lasseter and his animation group were almost too afraid to ask Jobs about authorizing some extra money for another short.	O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O B-EMO O O O O O O O O O O O	fear
Jobs had been reluctant to let Paul and Clara whom he considered his real parents know about his search for his birth mother With a sensitivity that was unusual for him and which showed the deep affection he felt for his parents he worried that they might be offended.	O O O O O O O O O O O O O O O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO	anger
Joanne was overcome with emotion when Jobs arrived at her Los Angeles house She knew he was famous and rich but she wasn't exactly sure why.	O O B-EMO I-EMO I-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O	happiness
Jobs was thrilled to find that he had a sibling who was so similar to him.	O B-EMO I-EMO I-EMO B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness
I don't hold anything against him��I'm happy to be alive But what bothers me most is that he didn't treat Mona well He abandoned her.	O O O O O O O O O O O O B-EMO O O O O B-CAU I-CAU I-CAU I-CAU I-CAU O O O	disgust
Redse came from a troubled family and Jobs shared with her his own pain about being put up for adoption.	O O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU	sadness
On occasion this could backfire such as when Jobs and Ive insisted on using a solid piece of brushed aluminum for the edge of the iPhone 4 even when the engineers worried that it would compromise the antenna But usually the distinctiveness of its designs�for the iMac the iPod the iPhone and the iPad�would set Apple apart and lead to its triumphs in the years after Jobs returned.	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O	fear
He was proud that his father never adopted a servile attitude or slick style that may have made him a better salesman.	O O B-EMO O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU	happiness
So I am pleased to announce today that I'm going to drop the interim title he said with a big smile.	O O B-EMO I-EMO I-EMO O O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O	happiness
I was really   nervous because he was one of my heroes And I was also afraid that he   wouldn't be really smart anymore that he'd be a caricature of himself like   happens to a lot of people But I was delighted He was as sharp as a tack.	O O O B-EMO O O B-CAU I-CAU I-CAU I-CAU I-CAU I-CAU I-CAU O O O O O O O O O O O O B-CAU O O O O O O O O O O O O O O O O O O O O O O O O O O O O	fear
